close,high,date,low,open,volume_from,volume_to,symbol,btc_price
105.09,112.52,2014-06-27,105.09,104.56,510.74,53673.67,DASH,6350
102.05,110.63,2014-06-28,101.4,105.09,459.46,46887.89,DASH,6689
97.96,105,2014-06-29,97.05,102.05,325.52,31887.94,DASH,6500
91.76,102.52,2014-06-30,79.3,97.96,1493.05,137002.27,DASH,6998
86.25,98.39,2014-07-01,82.8,91.76,954.73,82345.46,DASH,7198
70.38,87.04,2014-07-02,65.01,86.25,1917.54,134956.47,DASH,7194
82.35,88.81,2014-07-03,65.7,70.38,1358.94,111908.71,DASH,7149.99
81.24,86.38,2014-07-04,81.24,82.35,644.76,52380.3,DASH,7099.99
76.3,83.02,2014-07-05,74.13,81.24,677.82,51717.67,DASH,7099.99
70.42,80.15,2014-07-06,67.45,76.3,681.41,47984.89,DASH,7000
70.93,73.63,2014-07-07,67.55,70.42,477.35,33858.44,DASH,7000
77.68,82.61,2014-07-08,70.59,70.93,1067.99,82961.46,DASH,6990
78.03,80.54,2014-07-09,77.69,77.68,263.8,20584.31,DASH,6990
71.24,75.92,2014-07-10,68.47,78.03,442.81,31545.78,DASH,6850
74.56,77.54,2014-07-11,72.76,71.24,249.74,18620.61,DASH,6949.99
71.82,74.59,2014-07-12,71.19,74.56,350.58,25178.66,DASH,6939
68.92,71.21,2014-07-13,67.57,71.82,225.07,15511.82,DASH,6939
68.97,70.45,2014-07-14,65.76,68.92,677.64,46736.83,DASH,6900
68.88,70.99,2014-07-15,61.27,68.97,435.49,29996.55,DASH,6900
70.31,73.44,2014-07-16,63.02,68.88,393.68,27679.64,DASH,6850
80.1,83.3,2014-07-17,67.82,70.31,487.34,39035.93,DASH,6850
78.81,88.13,2014-07-18,75.96,80.1,526.1,41461.94,DASH,6900.22
78.19,80.55,2014-07-19,77.63,78.81,161.57,12633.16,DASH,6950
77.27,80.89,2014-07-20,75.7,78.19,219,16922.13,DASH,6950
75.21,78.87,2014-07-21,74.52,77.27,278.57,20951.25,DASH,6950
69.89,75.43,2014-07-22,69.89,75.21,370.8,25915.21,DASH,6950
69.63,73.09,2014-07-23,68.48,69.89,275.24,19164.96,DASH,6950
69.27,72.07,2014-07-24,69.06,69.63,267.01,18495.78,DASH,6950
68.93,72.1,2014-07-25,68.93,69.27,160.62,11071.54,DASH,6935.2
70.44,70.71,2014-07-26,67.07,68.93,317.57,22369.63,DASH,6933
66.52,68.66,2014-07-27,64.57,70.44,141.1,9385.97,DASH,6899
60.98,66.28,2014-07-28,59.63,66.52,726.15,44280.63,DASH,6890
54.79,62.02,2014-07-29,54.32,60.98,608.26,33326.57,DASH,6820
48.26,53.05,2014-07-30,46.15,54.79,864.09,41700.98,DASH,6815
62.65,65.53,2014-07-31,51.76,48.26,713.19,44681.35,DASH,6700
61.31,63.48,2014-08-01,57.6,62.65,621.51,38104.78,DASH,6799
63.68,68.4,2014-08-02,62.77,61.31,283.34,18043.09,DASH,6788
66.31,68.69,2014-08-03,64.09,63.68,184.14,12210.32,DASH,6749
59.61,64.65,2014-08-04,59.03,66.31,174.06,10375.72,DASH,6748
58.98,59.93,2014-08-05,55.38,59.61,548.34,32341.09,DASH,6700
63.44,64,2014-08-06,59.14,58.98,287.06,18211.09,DASH,6500
59.98,62.45,2014-08-07,58.02,63.44,29.79,1786.8,DASH,6549
64.9,66.37,2014-08-08,61.88,59.98,561,36408.9,DASH,6585
61.75,66.3,2014-08-09,60.78,64.9,207.72,12826.71,DASH,6585
60.66,63.3,2014-08-10,58.44,61.75,176.15,10685.26,DASH,6500
56.64,62.44,2014-08-11,55.79,60.66,487.47,27610.3,DASH,6600
