close,high,date,low,open,volume_from,volume_to,symbol,btc_price
39.39,394.72,2015-08-07,11.09,10.99,53584.56,2110695.82,ETH,4011.64
11.81,37.73,2015-08-08,8.711,39.39,722558,8533409.98,ETH,3999.26
10.73,13.84,2015-08-09,8.726,11.81,737119.57,7909292.99,ETH,3898.86
9.301,10.36,2015-08-10,8.138,10.73,585917.04,5449614.39,ETH,3889.73
14.91,16.39,2015-08-11,9.213,9.301,1479695.62,22062261.69,ETH,3814.55
17.57,18.17,2015-08-12,11.39,14.91,1801016.57,31643861.13,ETH,3832.49
25.19,28.48,2015-08-13,15.59,17.57,2327517.22,58630158.77,ETH,3785
25.57,32.94,2015-08-14,24.44,25.19,2233101.81,57100413.28,ETH,3770.63
23.84,26.72,2015-08-15,21.58,25.57,1419622.2,33843793.25,ETH,3787.5
20.4,24.14,2015-08-16,15.18,23.84,2402981.74,49020827.5,ETH,3747
16.62,22.17,2015-08-17,15.91,20.4,1371839.18,22799967.17,ETH,3694
18.27,18.93,2015-08-18,15.15,16.62,1349182.67,24649567.38,ETH,3674
18.31,18.65,2015-08-19,16.39,18.27,1170645.73,21434523.32,ETH,3570
21.43,22.23,2015-08-20,17.86,18.31,1954437.68,41883599.48,ETH,3398
20.49,22.42,2015-08-21,19.01,21.43,1334037.04,27334418.95,ETH,3440
19.23,21.06,2015-08-22,18.6,20.49,640337.86,12313697.05,ETH,3388
18.95,20.07,2015-08-23,17.69,19.23,1155471.25,21896180.19,ETH,3200
18.23,19.01,2015-08-24,17.26,18.95,684943.31,12486516.54,ETH,3336
16.92,19.03,2015-08-25,16.05,18.23,1003401.65,16977555.92,ETH,3239
16.78,17.47,2015-08-26,15.58,16.92,908166.41,15239032.36,ETH,3393.62
16.52,17.02,2015-08-27,16.24,16.78,544775.32,8999688.29,ETH,3279.21
17.13,17.43,2015-08-28,16.64,16.52,553371.82,9479259.28,ETH,3346.53
17.45,17.56,2015-08-29,16.93,17.13,306308.55,5345084.2,ETH,3409.89
19.38,20.09,2015-08-30,16.96,17.45,955307.6,18513861.29,ETH,3405.92
19.47,20.64,2015-08-31,17.33,19.38,1022400.44,19906136.57,ETH,3374.13
19.88,20.48,2015-09-01,19.48,19.47,524481.98,10426701.76,ETH,3390.22
18.75,19.88,2015-09-02,18.3,19.88,645488.06,12102901.13,ETH,3374.26
18.33,18.99,2015-09-03,17.27,18.75,537510.99,9852576.45,ETH,3358.89
18.81,19.54,2015-09-04,18.37,18.33,347421.49,6534998.23,ETH,3404.26
19.73,20.05,2015-09-05,19.16,18.81,294680.67,5814049.62,ETH,3549.56
19.35,20.39,2015-09-06,19.15,19.73,341612.58,6610203.42,ETH,3593.68
18.63,19.65,2015-09-07,18.38,19.35,353601.88,6587603.02,ETH,3619.86
17.86,18.54,2015-09-08,17.78,18.63,293158.46,5235810.1,ETH,3655.75
18.32,19.06,2015-09-09,17.97,17.86,288837.44,5291501.9,ETH,3625.41
17.55,18.37,2015-09-10,16.93,18.32,503817.52,8841997.48,ETH,3634.41
14.63,17.7,2015-09-11,13.64,17.55,1844125.6,26979557.53,ETH,3642.1
15.82,16.85,2015-09-12,14.46,14.63,705057.59,11154011.07,ETH,3617.23
14.12,15.48,2015-09-13,13.45,15.82,647261.84,9139337.18,ETH,3569.09
13.21,14.45,2015-09-14,13.01,14.12,771042.84,10185475.92,ETH,3576.18
14.09,14.9,2015-09-15,12.85,13.21,714254.34,10063843.65,ETH,3485.63
12.89,13.53,2015-09-16,12.79,14.09,634160.39,8174327.43,ETH,3470.89
12.92,13.49,2015-09-17,11.98,12.89,966757.8,12490510.78,ETH,3397.29
12.54,13.16,2015-09-18,12.18,12.92,529808.38,6643797.09,ETH,3458.65
13.12,13.55,2015-09-19,12.26,12.54,417687.57,5480060.92,ETH,3482.04
13.77,13.85,2015-09-20,12.77,13.12,501379.64,6903997.64,ETH,3441.62
13.32,13.99,2015-09-21,12.9,13.77,445907.58,5939488.97,ETH,3425.44
13.22,13.86,2015-09-22,12.38,13.32,499425.91,6602410.53,ETH,3416.03
13.19,13.36,2015-09-23,12.94,13.22,215374.57,2840790.58,ETH,3465
12.14,13.78,2015-09-24,10.62,13.19,945087.22,11473358.85,ETH,3508.23
11.01,12.34,2015-09-25,9.8,12.14,1131567.76,12458561.04,ETH,3522.6
11.61,11.75,2015-09-26,10.4,11.01,469286.58,5448417.19,ETH,3506.94
10.86,11.87,2015-09-27,10.73,11.61,544608.13,5914444.29,ETH,3500
8.85,11.26,2015-09-28,8.289,10.86,2004997.22,17744225.4,ETH,3596
10.24,10.82,2015-09-29,8.547,8.85,1373844.93,14068172.08,ETH,3671
11.1,11.69,2015-09-30,9.683,10.24,832229.71,9237749.78,ETH,3695.84
10.49,11.44,2015-10-01,9.486,11.1,834241.24,8751190.61,ETH,3703.21
10.34,10.59,2015-10-02,9.897,10.49,296102.48,3061699.64,ETH,3650
10.53,10.94,2015-10-03,10.35,10.34,228153.37,2402454.99,ETH,3674
10.22,10.67,2015-10-04,10.12,10.53,152946.63,1563114.56,ETH,3680
9.582,10.49,2015-10-05,9.432,10.22,331312.1,3174632.54,ETH,3700
9.747,9.794,2015-10-06,8.945,9.582,385789.87,3760293.86,ETH,3680
9.089,9.793,2015-10-07,8.851,9.747,319267.37,2901821.13,ETH,3660
9.272,9.591,2015-10-08,8.743,9.089,473726.57,4392392.76,ETH,3635.65
9.467,10.15,2015-10-09,9.1,9.272,553115.65,5236345.86,ETH,3624.54
9.103,9.588,2015-10-10,9.082,9.467,220844.59,2010348.3,ETH,3569
9.168,9.372,2015-10-11,9.018,9.103,133894.43,1227544.13,ETH,3589
9.108,9.518,2015-10-12,9.04,9.168,167554.57,1526087.02,ETH,3602
8.771,9.325,2015-10-13,8.666,9.108,448554.96,3934275.55,ETH,3639
7.383,8.993,2015-10-14,6.884,8.771,1698217.37,12537938.84,ETH,3650
7.971,8.243,2015-10-15,7.325,7.383,671725.55,5354324.36,ETH,3645
7.301,8.12,2015-10-16,7.178,7.971,440468.3,3215859.06,ETH,3654.64
7.489,7.835,2015-10-17,7.157,7.301,511043.64,3827205.82,ETH,3715
7.293,7.607,2015-10-18,7.168,7.489,246953.14,1801029.25,ETH,3750
6.837,7.346,2015-10-19,6.704,7.293,470613.94,3217587.51,ETH,3703.18
6.063,7.17,2015-10-20,5.965,6.837,752937.75,4565061.58,ETH,3766.98
6.203,6.918,2015-10-21,5.853,6.063,1240008.18,7691770.74,ETH,3806.34
8.264,9.056,2015-10-22,5.983,6.203,1622791.97,13410752.84,ETH,3989
7.504,9.207,2015-10-23,7.232,8.264,1548712.72,11621540.25,ETH,3997.91
8.282,8.494,2015-10-24,7.569,7.504,446011.52,3693867.41,ETH,4145
9.532,10.03,2015-10-25,8.23,8.282,905101.66,8627429.02,ETH,4309
10.63,11.63,2015-10-26,8.579,9.532,1470369.4,15630026.72,ETH,4225
12.75,13.42,2015-10-27,10.55,10.63,1886576.7,24053852.93,ETH,4359
14.57,16,2015-10-28,11.62,12.75,2017493.83,29394885.1,ETH,4450
17.18,18.22,2015-10-29,14.2,14.57,1599196.63,27474198.1,ETH,4721
15.29,19.76,2015-10-30,13.78,17.18,1918765.1,29337918.38,ETH,4849
13.66,15.48,2015-10-31,13.38,15.29,542320.19,7408093.8,ETH,4989.94
15.71,16.04,2015-11-01,13.42,13.66,466656.61,7331175.34,ETH,4840
13.59,17,2015-11-02,13.22,15.71,1004673.98,13653519.39,ETH,5065.04
13.97,16.27,2015-11-03,12.39,13.59,1822122.38,25455049.65,ETH,5998.78
